Culture,Fungus,Lichen
ASV1,ASV11,ASV1
ASV10,ASV12,ASV10
ASV107,ASV14,ASV101
ASV11,ASV157,ASV102
ASV12,ASV168,ASV106
ASV14,ASV172,ASV107
ASV144,ASV19,ASV108
ASV15,ASV194,ASV11
ASV16,ASV2,ASV12
ASV163,ASV203,ASV129
ASV17,ASV221,ASV137
ASV175,ASV224,ASV14
ASV18,ASV23,ASV148
ASV185,ASV236,ASV157
ASV19,ASV266,ASV160
ASV194,ASV295,ASV170
ASV2,ASV307,ASV172
ASV22,ASV33,ASV183
ASV23,ASV346,ASV188
ASV242,ASV368,ASV19
ASV243,ASV371,ASV190
ASV25,ASV380,ASV191
ASV260,ASV396,ASV194
ASV263,ASV4,ASV197
ASV27,ASV411,ASV2
ASV274,ASV418,ASV20
ASV282,ASV420,ASV200
ASV288,ASV424,ASV207
ASV292,ASV427,ASV221
ASV294,ASV43,ASV23
ASV296,ASV431,ASV231
ASV3,ASV453,ASV237
ASV30,ASV455,ASV239
ASV302,ASV456,ASV24
ASV306,ASV466,ASV241
ASV309,ASV471,ASV255
ASV312,ASV473,ASV265
ASV317,ASV487,ASV27
ASV325,ASV492,ASV270
ASV328,ASV510,ASV274
ASV329,ASV511,ASV280
ASV33,ASV522,ASV281
ASV333,ASV523,ASV283
ASV335,ASV527,ASV291
ASV350,ASV534,ASV293
ASV362,ASV538,ASV3
ASV363,ASV544,ASV30
ASV364,ASV546,ASV313
ASV4,ASV548,ASV314
ASV402,ASV56,ASV32
ASV41,ASV563,ASV327
ASV43,ASV586,ASV33
ASV45,ASV594,ASV331
ASV5,ASV595,ASV347
ASV501,ASV607,ASV35
ASV504,ASV617,ASV357
ASV53,ASV64,ASV373
ASV54,ASV644,ASV374
ASV55,ASV653,ASV375
ASV556,ASV655,ASV378
ASV56,ASV656,ASV386
ASV567,ASV657,ASV387
ASV6,ASV673,ASV392
ASV62,ASV700,ASV396
ASV623,ASV706,ASV398
ASV632,ASV712,ASV4
ASV664,ASV722,ASV401
ASV7,ASV730,ASV404
ASV749,ASV738,ASV413
ASV8,ASV74,ASV42
ASV84,ASV761,ASV43
ASV846,ASV776,ASV432
ASV860,ASV778,ASV434
ASV861,ASV787,ASV436
ASV879,ASV789,ASV450
ASV908,ASV792,ASV451
ASV909,ASV8,ASV459
ASV94,ASV80,ASV46
ASV99,ASV817,ASV460
,ASV819,ASV472
,ASV82,ASV473
,ASV836,ASV474
,ASV863,ASV48
,ASV864,ASV482
,ASV880,ASV485
,ASV881,ASV489
,ASV884,ASV50
,ASV885,ASV508
,ASV896,ASV51
,ASV899,ASV520
,ASV910,ASV521
,ASV92,ASV526
,,ASV529
,,ASV540
,,ASV545
,,ASV56
,,ASV560
,,ASV569
,,ASV577
,,ASV58
,,ASV584
,,ASV586
,,ASV591
,,ASV594
,,ASV6
,,ASV60
,,ASV616
,,ASV620
,,ASV628
,,ASV63
,,ASV64
,,ASV647
,,ASV649
,,ASV659
,,ASV668
,,ASV675
,,ASV677
,,ASV681
,,ASV684
,,ASV691
,,ASV693
,,ASV694
,,ASV697
,,ASV702
,,ASV703
,,ASV711
,,ASV715
,,ASV717
,,ASV723
,,ASV726
,,ASV735
,,ASV739
,,ASV74
,,ASV743
,,ASV753
,,ASV757
,,ASV759
,,ASV76
,,ASV77
,,ASV771
,,ASV772
,,ASV782
,,ASV783
,,ASV793
,,ASV794
,,ASV797
,,ASV8
,,ASV80
,,ASV807
,,ASV809
,,ASV813
,,ASV82
,,ASV820
,,ASV821
,,ASV822
,,ASV831
,,ASV839
,,ASV843
,,ASV844
,,ASV85
,,ASV858
,,ASV86
,,ASV865
,,ASV87
,,ASV875
,,ASV877
,,ASV888
,,ASV89
,,ASV891
,,ASV901
,,ASV904
,,ASV905
,,ASV919
,,ASV92
,,ASV922
,,ASV924
,,ASV96
,,ASV99
