Type,Substrate,Sample,Bacteria,Fungi,Metabolites
Culture,Agar,63,68,9,3499
Culture,Agar,64,17,9,3063
Culture,Agar,65,94,6,3423
Culture,Agar,66,215,16,2730
Culture,Agar,56,193,10,3221
Culture,Agar,57,104,10,3757
Culture,Agar,62,280,10,4249
Culture,Agar,50,219,19,3697
Culture,Agar,52,240,36,3681
Culture,Agar,59,121,6,3136
Culture,Agar,60,188,6,3957
Culture,Agar,61,191,6,3951
Culture,Agar,55,160,12,3256
Culture,Agar,67,144,8,3391
Fungus,Wood,20,63,29,5271
Fungus,Wood,22,235,28,5369
Fungus,Wood,28,215,58,5037
Lichen,Bark,2,137,32,5299
Lichen,Bark,1,185,42,5486
Lichen,Bark,11,202,44,5480
Lichen,Bark,12,153,31,5576
Lichen,Wood,15,168,66,5328
Lichen,Bark,42,123,17,5474
Lichen,Wood,39,161,48,5206
Lichen,Bark,6,173,20,5499
Lichen,Bark,8,198,22,5491
Lichen,Bark,21,90,20,5570
Lichen,Bark,36,279,50,5341
Lichen,Bark,46,34,18,5470
Lichen,Wood,26,313,20,5280
